"gene_id","832_M_281","832_M_BTK_217","832_N_273","832_N_BTK_209","832_P_289","832_P_BTK_225","832_T_297","832_T_BTK_233","833_M_280","833_M_BTK_216","833_N_272","833_N_BTK_208","833_P_288","833_P_BTK_224","833_T_296","833_T_BTK_232","entrez_id","transcript_id","gene_symbol"
136,0,0,0,0,2,0,0,0,0,1,0,37,0,0,0,0,"27237","uc001akg.4,uc001aki.3,uc001akj.3,uc009vli.1,uc010nzh.2","ARHGEF16"
137,0,0,5.97,38.08,9,1,0,1.99,0,1,0,953,1,0,0,0,"1953","uc001akk.3,uc001akl.3","MEGF6"
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"693135","uc021ofa.1","MIR551A"
139,62,1,2,5,104.18,2.98,0,1,3,0,0,170.99,6,2,0,0,"127262","uc001akm.3,uc009vlj.3,uc031pkw.1","TPRG1L"
140,1,4.06,5.04,17.53,228.75,11.17,16.52,55.01,4.62,3,1,857.23,13.72,0,4,0,"49856","uc001akn.3,uc001ako.3,uc010nzi.3","WRAP73"
141,0,1,0,0,181.86,0,0,0,0,0,0,98,0,0,0,0,"7161","uc001akp.3,uc001akr.3,uc001aks.3,uc009vlk.2,uc009vll.3,uc010nzj.2,uc010nzk.2,uc010nzl.2,uc021ofb.1,uc021ofc.1,uc021ofd.1,uc021ofe.1,uc021off.1,uc021ofg.1,uc021ofh.1,uc021ofi.1","TP73"
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"uc031tna.1",NA
143,29.06,1.65,7.2,0.8,120.17,38.06,14.86,4.85,10.11,0,0,945.43,23.5,1,2.35,0,"57212","uc001akt.4,uc009vlm.3,uc021ofj.1,uc021ofk.1,uc021ofl.1","TP73-AS1"
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"uc031tnb.1",NA
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"uc031tnc.1",NA
146,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"148870","uc001akv.2","CCDC27"
147,3,0,0,1,0,0,0,0,0,0,1,24,0,0,0,0,"388588","uc001akw.5,uc031pkx.2","SMIM1"
148,6.03,3.08,2,0,36.86,2.81,11.51,0,3.03,0,0,780.58,5.01,0,2,0,"57470","uc001akx.1","LRRC47"
149,25.11,21.31,13.52,11.82,462.29,57.34,17.57,19.49,15.86,7.84,5.95,2171.2,143.01,2.56,6.26,0,"9731","uc001aky.2,uc001akz.3,uc010nzm.1,uc031pky.1","CEP104"
150,72.4,16.25,22.82,16.43,717.64,181.35,99.48,43.58,25.35,7.53,9.91,2382.81,314.68,1.23,6.28,0,"1677","uc001ala.2,uc001alb.4,uc001alc.4,uc001ald.4,uc001ale.4,uc009vln.2,uc009vlo.2,uc009vlp.4,uc009vlq.4,uc009vlr.4,uc010nzn.3","DFFB"
151,13.44,82.02,15.09,24.55,824.97,67.17,18.84,13.42,11.72,1,0,960.53,44.92,0,2.24,0,"339448","uc001alf.3,uc009vls.3","C1orf174"
152,1.9,2,5.67,1.39,125.61,9.7,6.7,1.05,2.05,2.49,0,478.63,12.26,0,1,0,"100133612","uc001alg.3,uc001alh.4,uc010nzo.2","LINC01134"
153,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"728716","uc001ali.2","LINC01346"
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"uc031tnd.1",NA
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"uc031tne.1",NA
156,0,0,0,0,0,4.08,0,0,0,0,0,6,1,0,0,0,"284661","uc001alj.2","LOC284661"
