"gene_id","832_M_281","832_M_BTK_217","832_N_273","832_N_BTK_209","832_P_289","832_P_BTK_225","832_T_297","832_T_BTK_233"
595,68.42,31.62,25.43,71.28,396.05,249.55,80.96,27.59
596,15.83,2,0,0,41.35,15.64,0,0
597,70,7,10.89,15.01,1873.1,13,77,38
598,0,0,0,0,7,0,0,0
599,51.25,25.5,25.06,66.25,462.21,193.99,30.44,9.91
600,0,6,2,0,162,38,3,36
601,0,0,0,0,0,0,0,0
602,0,0,0,0,19,2,0,10
603,0,0,0,0,0,0,0,0
604,0,0,0,0,0,0,0,0
605,1.99,0,0,0,33.09,18.73,18.75,1.99
606,0,0,0,0,0,0,0,0
607,142.61,0.25,87.06,1.18,139.4,45.29,9.36,10.34
608,135.93,3,4,3,40,0,3.97,10.79
609,23.13,20.52,7.99,21.52,242.81,191.8,30.31,10.35
610,4.49,0,1,23.6,90.17,30.33,1.58,0
611,20.24,7.58,1.12,15.81,341.11,58.09,32.83,10.53
612,21.99,45.78,44.98,13.57,808.73,35.72,34.25,8.8
613,17.42,6.48,11.59,10.66,122.16,64.73,31.93,3.03
614,0,0,0,0,0,0,0,0
615,0,0,0,0,0,0,0,0
616,0,0,0,0,0,0,0,0
